term	def
إجماع	unanimity
إجمال	whole, entirety, generality
إجمالاً	on the whole, generally, in general
أَجمَل	most/more beautiful
أَجنَبي،أَجانَب	foreign, foreigner
أجْنَبي،أجنَبيّة،أجانِب	stranger (person)
إجهاض	abortion
إجى ليكَحَّلهُ،عَماه	he came to eyeliner him, but he blinded him (he did him a misservice)
أَجير،أُجَراء	salaried worker, employee
إحباط،إحباطات	frustration
إحتِجاج	protest
إحتِجاجي	protest (adj)
إحتِرام	respect, honor
إحتِشام	modesty
إحتِقار	contempt, scorn
إحتِكار	monopoly
إحتِكاري	monopolous, monopoly (adj)
إحتِكاك	friction, contact
إحتِلال	occupation
إحتِمال	possibility, probability, likelihood
إحتِيات	spare, reserve, precaution
إحتِياتات	precautions
إحتِياتي	reserve, reserves
اِحْتِياط	precaution
أَحَد	one
أَحدَب،حَدباء،حُدُب	hunchback
إحدَعَش	eleven (when the number stands alone)
إحدَعشَر	eleven (before a noun, which is always in singular form)
أَحدَق	more/most clever, sharp
إحرام	the state of ritual consecration and abstention when performing hajj, or, the garment worn by men during the hajj
أَحرى	appropriate, worth
إحساس	feeling, emotion, sensation
إحساس،أحاسيس/إحساسات	feeling, emotion
إحسان	philanthropy, charity
أحْسَن	better
إحصاء،إحصائِيّات	counting, enumeration, census, statistic
أَحلى	more/most sweet, beautiful, nice
أحْمَر،حَمْرا،حُمُر	red
إحمِرار	blush, flush, reddening
أَحمى	more/most very hot, like iron or oil
أَحوَل،حولاء،حول	cross-eyed, person with a squint
أَحياناً	sometimes
أخ،أخْوة/إِخْوان	brother
أُخت،خَوات	sister
أُخْت،خْوات	sister
إختِبار	research, test, experiment
إختِراع	invention
إختِصاصي	specialist
إختِلاس	embezzlement
إختِلاف	difference, difference of opinion
إختِيار	choice (as a concept?)
آخَر	last
آخِر و أواخِر	end
آخَر،أُخرى	other, different, else
آخَر،أُخْرا،آخَرين	other
آخِر،أخرانِيّين	last
إخراج	direction, directing (on stage/screen)
أَخراني	last
آخرة	the hereafter, the last/ultimate
أَخرَس،خَرساء،خُرُس،خُرسان	dumb, unable to speak
أخْرَس،خَرْسا،خُرُس/خُرسان	dumb
آخِرِهِ	etcetera, etc
إخس!ء	shame! (how) horrible! ugh! what a bad smell!
أَخشَن	more/most coarse, rough, harsh
أَخَصّ	more/most special, extra special, especially
أَخِصّائي	specialist
أخْضَر،خضْرا،خُضُر	green
أخطَر	more/most dangerous
أَخطَر	more/most serious, important, grave
أَخَفّ	more/most light/slight
إخلاء	evacuation
إخلاص	faithfulness, loyalty, devotion
أَخلاق	morals, morality
أَخلاقي	moral (adj)
أَخمَل	thicker, thickest
أَخنَب،خَنباء،خُنُب	having a nasal voice, speaking through the nose
أَخنَف،خَنفى،خُنُف	having a nasal voice, speaking through the nose
إخوان	brethren, brotherhood
إخوة	brothers, male siblings
أَخير	last
أخير،أخيرة	last (adj)
أَخيراً	at last, finally
آداب	politeless, good manners, the humanities
آدار	March
إدارة	management, administration, direction
أَدَب،آداب	literature, politeness, good manners, social graces
أَدَبي	literary, moral
إدِّخار	saving
إدخال	insertion, putting in, inputting, input
أَدفى	more/most warm
أَدَقّ	more/most delicate, precise, accurate, meticulous, fine
إدمان	addiction
آدَمي،أَوادَم	polite, pleasant, nice, decent, humane
آدَمي،أوادِم	polite, decent, pleasant
أَدنى،دُنياء	lower, lowest, minimal, nearer, nearest
أَدَوات	tools, utensils, appliances
أَديب،أُدَباء	writer, author
أَديَق	more/most narrow
إذا	if
إذا/إزا	if
إذاعة	broadcast, broadcasting
إذْن	permission
إذَن/إذاً؟	so, then, consequently, therefore
إذنك معاك	excuse me (response)
إرادة	will, wish, desire
إران	Iran, Persia
إراني	Iranian, Persian
أُرُبّة	Europe
أَربَح	more/most profitable, lucrative
أرْبْعة	Wednesday
أرْبَعة،أرْبع،رابِع	four
أَربعينِيّة	centipede ("fortypede")
أُرُبّي	European
إرتِجال	improvisation, improvising
إرتِجالي	improvised
إرتِفاع	height, altitude, rise, ascent, increase
إرتِكاب	perpetrating, perpetration (VN)
إرتِياح	satisfaction, relief
أَرخى	more/most soft, slack, loose, flabby
أُردُن،الأُردُن	Jordan
أُردُني	Jordanian
أَرز	cedars
أَرزة	a cedar
أَرزَل	more/most despicable, contemptible, nasty, depraved
إرشاد	guidance, instruction
أرْض،أَرَاْضِي	earth
أَرضِشوكة	artichoke
أَرضي	terrestrial, land (adj), soil (adj), ground (adj)
أَرضِيّة	ground, floor, ground floor
أرغيلة،أَراغيل	argileh, water pipe
أَرفَع	more/most thin, slender, slim, narrow (usually round but not flat), high pitched
أَرَقّ	more/most thin, fine (of flat object)
آرمة،آرمات	sign (business, etc)
أَرمَل،أرامَل	widower
أَرمَلة	widow
إرهاب	intimidation, frightening, terrorism
إرهابي	terrorist
أَروَع	more/most wonderful, splendid, magnificent
إزا	if, whether
إزدِحام	crowding, overcrowding
إزدِهار	bloom, blooming, prosperity, boom
إزدِواجِيّة	duplication
أزْرق،زَرْقا،زُرُق	blue
إزعاج	annoyance, disturbance
أَزعَر،زَعراء،زُعران	lout, yob, no-good
أزْعَر،زُعْران	hooligan, crook
أَزكى	more/most smart, intelligent, clever, bright
إزَن،إزن،إذن	permission
إسّا	now, just now
أَساس،أُسُس	basis, foundation, basic knowledge rudiments
أَسباط	tribes (in the Bible)
إسبانيا	Spain
أَسبِرين	asprin
أَسبَقِيّة	precedence, priority, previous convictions
أُسبوع،أَسابيع	week
أُستاذ	teacher, lecturer, professor
أُسْتاذ،أَسَاتْذة	sir
أُسْتاذة،أَسَاتْذة	madam
إستأَصَل	removing, removal, uprooting
إستأَنَف	resumption, recommencement, renewal, appeal (legal)
إستِخبارات	intelligence (i.e. a body which gathers information (of military of political value))
إستِراحة	rest, intermission, break
أُسترالي	Australian
أُستراليا	Australia
إستِشهاد	quotation, martyrdom
إستِشهادي	relating to martyrdom or suicidal attacks
إستِطلاع	study, research, exploring, exploration
إستِعداد	readiness, willingness, preparedness, preparation
إستِعراض	review, parade
إستِعلام	enquiry
إستِعمار	imperialism, colonialism
إستِعماري	imperialist, colonialist
إستِعمال	use
إستِغلال	exploitation, taking advantage of
إستِفتاء	consultation, consulting
إستِفتاء	referendum
إستِفراغ	vomiting
إستِفزاز	provocation
إستِفزازي	provocative
إستِفهام	enquiry (desire to understand)
إستِقالة	resignation
إستِقبال	reception
إستِقرار	stability
إستِقلال	independence
إستِكمال	completion
إستِمرار	continuation, persistence
إستِنتاج	conclusion
إستِهلاك	consumption, wear and tear
إستِواء	evenness
إستيراد	importation, importing, import
إستيطان	settling, settlement, colonization
إستيعاب	absorption
أَسخَف	more/most stupid
أَسخَن	more/most warm, hot
أَسَد،أُسود	lion
أَسَر	captivity
إسراء	Mohammed's night journey where he flies on البراق to Jerusalem and hangs out with all the other prophets who came before him like Mary and Jesus and Moses
إسرائيل	Israel
إسرائيلي	Israeli
أُسرة،أُسَر	family
أَسرَع	fastest, faster
أُسَري	familial, relating to the family, family-
إسطِوانة	record (vynil)
اِسْطِوانة،اِسْطِوانات	music record
أُسطورة،أَساطير	legend, tale, fable
أُسطول،أَساطيل	fleet
إسعاف	[medical] care
أَسعَد	happier, happiest
آسَف	I'm sorry
أَسَف	sorrow, regret
آسِف،آسْفة،آسْفين	apologetic, regretful, sorry
أَسفَل،سُفلاء	lower, bottom, bottom part
إسفين،أَسافين	wedge
إسكان	housing
أُسكُت!ْ	shut up!
أَسكِدِنيا	loquat (that fruit thing)
إسلام	Islam, Muslims, surrendering, submission
أُسلوب،أَساليب	style, method
أُسُم،أَسامي	(other way to say) name
أَسمَج	ruder, rudest
أَسمَر،سَمراء،سُمُر	dark skinned, black
أَسْمَر،سَمرا،سُمُر	brown
أَسمَك	thicker, thickest (rare)
أَسمَن	more/most fat, plump (usually animals)
أَسَنسَير	elevator (from French)
إسهال	diarrea
أَسهَل	more/most easy, convenient
أَسواء	worse, worst, most evil
أسْوَد،سودا،سود	black
آسيا	Asia
أَسير،أُسَراء،أَسراء	prisoner, captive, POW
آسيَوي	Asian
إشارة	sign, signal, indication, badge, tag
إشاعة	spreading, rumor
إشباع	repletion, satisfaction
إشتِباك	complication, involvement, clash, skirmish
إشتِراك	participation, taking part, subscription, membership for
إشتِراكي	socialist
إشتِراكِيّة	socialism
إشتِياق	desire, longing, yearning
أَشَدّ	more/most intense, strong, powerful, forceful, severe, strict, harsh, tough
إشراف	supervision
إشراك	associating, polytheism
إشرَب هٰدا،بيرويك	drink this, it'll quench your thirst
أَشرَم،شَمراء،شُرُم	havine a cleft lip
أَشطَر	more/most smart, clever, bright, quick, hard working, successful
إشعار	notification, notice
أَشقَر،شَقراء،شُقُر	blonde
أَشكُرَك	thank you
أَشلَب	more/most beautiful, handsome, fine (weather)
أَشهَر	more/most famous, well-known
إشي	thing, anything, some
إشِي،شِي،إشْيا	thing
إصابة	injury, affliction, goal (sports?)
أُصبَع،أَصابَع/أَصابيع	finger, key (piano), tube
أُصْبَع،أصابِع\أصَابِيع	finger
أَصَحّ	more/most true, right, correct
إصدار	issuing
إصطَبل	stable (noun)
إصطِدام	clash, collision, crash
إصطِلاح	term (language)
أَصعَب	more/most difficult, hard
أصْفَر،صَفْرا،صُفْر	yello
أَصل،أُصول	foundation, origin, source, root
أصْل،أصول	foundation, root, source, origin
إصلاح	improvement, repair, reform
أَصلَح	more/most good, suitable, valid
أَصلَع،صَلعاء،صَلُع	bald
أَصلي	original, real, authentic, genuine
أصْليّة	original, authentic
أُصول،	rules, laws, procedures, fundamentals
أُصولي	abiding by (religious?) law, fundamentalist
أصولي،أصوليّين	fundamentalist
أُصولِيّين	the fundamentalists
أَصيل	noble, purebred, well bred, original, genuine, authentic
إضافة	addition, adding
إضافي	additional, extra
إضائة	lighting
أَضحى	sacrifice
إضراب	strike (labor)
إِضْراب،إِضْرابات	strike, refusal to work
إضطِراب	disturbance, unrest, riot
إضطِهاد	persecution
أُضفَر،أَضافَر	nail (of finger, toe, etc)
إطار،أُطُر	frame, context, framework
أَطرَش،طَرشاء،طُرُش	deaf
أَطرَش،طَرشاء،طُرش،طُرشان	deaf, deaf person
أُطروحة	dissertation, thesis
أَطرى	more/most soft
إطفاء	putting out, extinguishing
إطفائي،إطفائِيّة	fireman
اِطْفائي،اِتْفائيّة،اِتْفائيين	firefighter
إطِّلاع	being informed, awareness, knowledge, familiarity
إطلاق	freeing, releasing
أَطلَس	satin, atlas
أَطلَسي	Atlantic
أَطهَر	more/most pure
إعادة	returning, return, giving back, sending back
إعاقة	hindering, delaying, hinderance, obstacle
إعتِبار	consideration
إعتِداء	attack, hostile act, aggression, assault, trespass, trespassing
إعتِدال	moderation
إعتراف	confession, admission, recognition, acknowledgement
إعتِقاد	belief, opinion
إعتِقال	arrest, detention
إعتِماد	reliance, confidence, credit, loan
إعجاب	admiration
إعداد	preparation
إعدادي	preperatory
إعدام	annihilation, extermination, execution
إعراب	declaration, expression, inflection (gramm.), parsing
أَعرَج،عَرجاء،عُرِج	lame, limping
أَعرَف	knowing better, more expert
أَعَزّ	most dear, most precious, most beloved
أَعطَل	worst, nastiest
إعفاء	exemption
إعلام	information, notification
إعلامي	information (adj), informational
إعلان	announcement, statement, notice, advertizing, advertizement
أَعلَم	more/most knowing
أَعلى،عُلياء	higher, highest, upper
أَعمى،عَمياء،عُميان	blind
أَعمَى،عَميا،عُميان	blind
أَعنَد	most stubborn/opinionated
أَعوَج،عُوجاء،عُوج	crooked, bent, dishonest
أعوذُ بِالله	I seek God's refuge
أَعوَر،عُوراء،عُوران	one eyed, blind in one eye
إغتِصاب	rape, violation, robbery, usurpation
إغتِيال	assassination, murder
إغراء	temptation
إغزُست	exhaust (car)
إغلاق	closure
أغلَب	most
أَغلَبِيّة	majority
أَغمَق	more/most dark or deep
أُغنِية،أَغاني	song
أُغْنِيّة،أغاني	song
إفادة	benefit, use, advantage, evidence
آفة،آفات	epidemic, scourge, bane, evil, pest, disease (agriculture)
إفتِتاح	opening, inauguration
إفتِتاحي	opening, introductory, preliminary, prefatory
إفتِتاحِيّة/مَقال إفتِتاحي	editorial
إفتِخار	pride
إفتِقار	need, lack, shortage
أَفخَر	more/most glorious, luxorious, fancy, grand
أَفخَم	more/most luxury, splendid, magnificent, grand, fancy, classy
إفراج	release (from prison, custody)
إفراز	secretion
أفضَل	better, best, preferable
إفطار	first meal after sunset during Ramadan
إفطام	weaning, detoxification, detox, drying out (drugs/alcohol)
أَفعة،أَفاعي	adder, viper
أُفُق،أَفاق	horizon
أُفقي	horizontal
إفلاس	bankruptcy
أَفيَد	more/most useful, instructive, interesting
إقاع	rhythm
إقاف	stopping
إقامة	stay, sojourn, residence, residence permit
إقتِراح	suggestion, proposal
إقْتِراح،إقْتِراحات	suggestion, proposal
إقتِراع	voting
إقتِصاد	economy, economics
إقتِصادي	economic, economical, economist
أَقدَمِيَّة	seniority
إقرُنفُل	carnations, cloves
أَقسى/هَقسى	more/most hard, difficult, harsh
أَقصَر/هَقصَر	shorter/shortest
أَقصى	farther, farthest, most distant, maximal, maximum
أقطَع،قَطعاء	one-armed
أَقَلّ،هَقَلّ	least
أَقَلّ/هَقَّل	fewest, fewer
أَقَلِّيّة	minority
إقناع	persuasion, convincing
إقون	icon (i.e. religious painting)
أَقوى/هَقوى	stronger / strongest
أُقِيّة،أَواق	ounce (250gm in Jerusalem)
إكتِشاف	discovery, invention
إكتِفاء	contentment, satisfaction
إكتِئاب	depression
أَكِّدِنيا	loquat (that fruit)
إكرام	honor, honoring, respect, respecting
إكْرام الضْيوف	hospitality
أَكس	axle
أَكْل	meal
أَكلة	dish (particular type of food)
أكْلة،أكْلات	a [specific] food, a dish
أَكَمّ	several, a few, how many?
أكيد	certainly
أَكّيل	glutton
إلّا	if not, only, except, to (time), (and) there..., lo and behold
أَلّا وَكيلَك	everything'll be fine! (God is your guarantor)
أَلّا يوَفّقَك	Good luck! (may God cause you to succeed)
الأرض مَحروتة/مَحروثة	the land's been plowed
الإصلاح	the reformation
البَحرِيّة	the navy
آلة	machine, apparatus, instrument
آلِة،آلات	machine
التاني	the second (one)
التَحَرّي	the secret police
إلتِزام	commitment, obligation, undertaking
الْتَّمانينات	the eighties
إلتِهاب	inflammation
الجايْ	next
الجَبر	algebra
الجَزائَر	Algeria
الجِنسَين	both sexes
الجُوّاني	the inner tube (of tyre)
الجوزة	Adam's apple (and by extension the throat)
إلحاح	pressure, urging, imploring
إلحاد	atheism
الحق	fault
الحَمْدِ لله	Thank God
الخاصرتَين	the hips
الخَليل	Hebron (from Abraham's name)
الخَنافَس	The Beatles
الْرّاحَل	the deceased, the late
الْرّاديو مَفتوح	the radio's on
الرَجاء،عَدَم الْتَّدخين	no smoking please
الْرُّسُل	the Apostles
الْرَّسمالِيّة	capitalism
الْرَّملة	Ramleh (a town southeast of Jaffa)
الْرِّئَتيْن	the lungs
أَلَزّ،أَلَذّ	delicious, nice, pleasant, enjoyable
إلزامي	compulsory, obligatory
الْشّاهَد	the index finger
الْشّيعة	the Shi'a
الْشّيوعِيّة	communism
الْصَّحِّيّة	the national health service, government health services
الْصَليبِيّين	the crusaders
الضَوّ	light
العَفو	excuse me, pardon me, don't mention it, you're welcome
العيشة	lifestyle
إلغاء	cancellation, invalidation, abolition, abrogation
الفُتوحات	the conquests
الفَكَين	the jaws
أَلفِيّة	millenium
القاعِدة	al-Qaida
القَصَبة	the windpipe (anatomy)
القِيَم	values (beliefs etc)
الكُلّ	right away
اللاسامِيّة	antisemitism
الله يحْفَظ	God protect
الله يرْضَى عَلَى	May God be pleased with
الله يسَلْم	God save
الله يِوَفّي	God bless
اللوزتين	the tonsils
اللي فات،اللي فاتَت	previous (last)
أَلَم،آلام	pain, suffering
ألَم،ا	wound
المُأَخَّر	the second installment of the dowry
أَلماز	diamond
الماضْي،الماضية	past
المالِيّة	the treasury, ministry of finance
المُبتَدِئين	the beginners
المَبيضَين	the ovaries
المُتَدَيَّنين	the devout people
المُتَّهَم	the accused
المُجتَرّين	the ruminants (the type of animal a cow is)
المُختار	landlord
المُدَّعي	the claimant, plaintiff
المصَلَّبة	the Monastery of the Cross
المُعتَدي	the aggressor
المَلَكِيّين	the monarchists
المنافِع	toilet, washroom, lavatory
المَنكوبين	the catastrophized, the survivors (of war, disaster, etc)
النَطّة	leapfrog (child's game)
إلٰه،آلِهة	god
الهِند	India
الوارَث/الوارَت	the heir / inheritor
إلّي،إلّك	for me, for you
اِلّي/اِللي/يَلْلِي	the one, that, which, whom
اليَسارِيّين	the leftists, left-wingers
أَليف	familiar, domesticated
أَليم	painful, upsetting
أَليَن	more/most flexible
اليوم	today, these days
إمّ/أُمّ،إمَّيات/أُمَّهات	mother
إمّ\أُمّ	mother
أَمّا	but, on the other hand..., what a - ! how - !
إماء	sign, gesture
إمارة	emitate, principality
أمّاليوم	nowadays
أَمام	front, in front of, opposite
أَمامي	front (adj)
أَمان	security, safety
إمان	faith
أَمانة	loyalty, reliability, honesty, safety, security, object left for safe keeping, secretariat
أُمّة،أُمَم	nation, people, community
إمتِحان	test, exam
إمْتِحان،إمْتِحانات	exam
إمِتى	when
أَمر،أُمور	matter, issue
أَمر،أَوامَر	order, command
أمْر،أوامِر\أُمور	command, matter, issue
إمساك	constipation, the start of the Ramadan fast each day
إمضاء،إمضايات	signature, autograph
إمكان	possibility, power, capacity
إمكانِيّة	possibility, chance, opportunity, power, capacity
أَمَل،آمال	hope, prospect, chance
أَملَس	more/most smooth/straight
آمَن	safe, peaceful
أَمن	security, safety
أُمنِية،أَماني	wish, desire, longing, dream
أَمهَر	more/more skillful, skilled, expert
أُمّي	illiterate
أُمِّيّة	illiteracy
إن	if - always followed by past tense verb, even if it refers to the future
إن شَالله	God willing
أَنا وعيت	I woke up
أَناقة	elegance
أَناني	egotistical, egoist
أَنانِيّة	egoism
أُنبوب/أُنبوبة،أَنابيب	pipe, pipeline, tube, test tube
إنتاج	production, output
إنتِباه	attention, attentiveness, alertness, care, caution
إنتِحار	suicide
إنتِخاب	election, voting
اِنْتِخاب،اِنْتِخابات	election
إنتِداب	deputation, mandate (over a territory)
إنتِصار،إنتِصارات	victory
إنتِظار	waiting (VN)
إنتِظام	order, regularity
إنتِفاضة	shaking oneself, stirring onself, awakening, intifada, revolution
إنتِقاد	criticism
إنتِقام	revenge, vengance
إنتِقامِيّة	vengeful, retaliatory
إنتِماء	belonging, affiliation, membership
إنتِهازي	opportunist
إنتِهازِيّة	opportunism
إنتِهاك،إنتِهاكات	violation
أَنتَين	antenna, aerial
أُنثى،أَناثي/أَنتى،أَناتي	female (animal)
إنجاز	achievement, accomplishment
إنجاص	pear
إنجِذاب	attraction
أَنجَق	hardly, scarcely, barely
إنجيل،أَناجيل	(the) Gospel
أَنحاء	sections, parts
إنحِراف	deviation, perversion, corruption
إنحِياز	partiality, bias
إنخِفاض	drop, decrease, reduction
إندِماج	integration, fitting in
إنذار	warning, notice
إنسان،ناس	human being, person, people
إنساني	human, humane
إنسانِيّة	humanity, humaneness
أنسَب	more/most suitable, appropriate, proper
آنِسة	young lady, miss
إنسِجام	harmony, fitting in, integration
إنسِحاب	retreat, withdrawal
إنشاء	essay
أَنشَط	more/most active, energetic, animated, vivacious, full of life
أَنشَف	most dry
إنشِقاق	splitting, schism
إنصاف	justice, fairness
أَنصَح	fattest, plumpest
إنضِباط	discipline, self-control
أَنضَف	cleaner, cleanest
إنضِمام	joining, enrollment
إنطِباع	impression
إنطِلاق	release, eruption, bursting out, departure, start, starting point
إنعِكاس	reflection
إنغَلترا	England
إنغليزي،إنغليز	English
إنفِجار	explosion
إنفِراد	isolation, exclusion
أَنفُس	selves
إنفِصال	separation
إنفِصام	splitting, split
إنفِعال	excitement, agitation
إنفلُوَنزا	flu, influenza
إنقاذ	saving, rescuing, rescue
إنقِلاب	upheaval, revolution, coup
أَنمَش،نَمشاء،نُمُش	freckled, having freckles
إنها	that she...
إنهاء	ending, termination
إنهِيار	collapse
أَنو،أَني	which?
إنّو\إنّ	that
أَنيق	elegant
إهانة	insult, humiliation, disdain, contempt
أَهبَل،هَبلاء،هُبُل،هَبالا	fool, idiot, stupid person
إهتِمام	interest, concern, attention
اِهْتِمام،اِهْتِمامات	interest, concern, attention
أَهدى	more/most calm, quiet
أهلا بيك	welcome (reply)
أهْلا و سَهْلا	welcome
أَهلي	domestic, local
إهمال	neglect
أَهمَل	more/most badly behaved, lout, yob, hooligan
أَهَمِّيّة	importance
أَهوَن	easier, easiest
أوْ	or
بِالأَصَحّ	or more precisely,
أَواعي	clothes
أَوان	time
أُوتَيل	hotel
أودغَيم	mumps
أَوسَط،وَسطى	middle, central
أَوسَع	more/most wide, spacious, comprehensive
أُوضة،أُوَض	room
أَوضَح	more/most clear, clearer, clearest
اَوطى	more/most low (in all senses), base, inferior, coarse, immoral
أْوعى!/أْوعي!ء	look out! be careful!
أوّلًا	firstly
أَوَّلاني	first
أَولَوِيّة	precedence, right of way
أَوَنطة	trickery, swindle
أيّ،أَيّا	which
أيّا واحَد	which one
أَيّار	May
إئتِلاف	coalition
إيجابي	positive, affirmative
إيد،إيدَين/أَيدي،إيدتَين	hand, arm, handle
إِيْد\إيْدي،إيدتين،إِيْدين	hand
أْيدز	AIDS
أْيش	what?
إيطالي	Italian
إيطاليا	Italy
أْيلول	September
أْيمتى	when?
باب،أبْواب	door
بابور،بَوابير	ship (from French)
باخِرة،بَواخَر	ship
بارَد	cold, unemotional, sluggish
بارَز	protruding, prominent, obvious
بارود	gunpowder
بارودة	rifle
باريز	Paris
باز،بيزان	falcon
باسور،بَواسير	piles, haemorrhoids
باص،باصات	bus
باطَل	futile, vain, false, unfounded
باطِني	internal
باطيئ،باطيئة	slow
باقي	remaining, rest, remainder, change (money)
باقي،باقية،بايقين	remainder
بال	mind
بِالْتّأَكيد	certainly, definitely
بِالْتّالي	hence, therefore, in consequence
بالْتَّدريج	gradually
بالْتَّدقيق	accurately, precisely
بالْتَّساوي	equally, in equal measure
بِالْتَّسَلسُل	in (proper) sequence
بِالْتَّناوُب	in rotation in shifts, in turn
بِالْزّات	in particular, none other than, of all people/things/places
بِالْصُّدفة	by chance
بِالضَبْط	exactly
بِالْظَّبط	exactly, precisely
بِالْظَّلط	naked, nude
بِالعَرض	across, breadthwise
بالعَكس	on the contrary
بالَغ،بالغة،بالِغين	adult, grown up
بِالقُرعة	by drawing of lots
بالقَصد/قَصداً	on purpose, deliberately, intentionally
بالكاد	hardly
بِالكَد	scarcely, hardly, barely, no sooner...
بِالمَرَّة	completely
بِالمَرّة	[not] at all
بامية	okra
باهَت،باهتة	pale, faded
بايَخ،بايخة	faded, tasteless, insipid, uninteresting, lame
بَبَّغة،بَبَّغَوات	parrot
بُبو	baby, pupil (eye)
بَبوج	slippers
بَبونَج	camomile (tea)
بِتراهَنني؟	you wanna bet me?
بَتِنجان	eggplants
بِتنيه	I fold it
بِجوز	perhaps, possibly
بَحّار،بَحّاراء	sailor, seaman
بَحبوحة	prosperity, ease, comfort
بَحت	pure, unmixed, purely
بَحث،بَحس،أَبحاث،أَبحاس،بُحوث،بُحوس	research, examination
بَحر،أَبحار،بُحور	sea, during, in the course of
بَحري	marine, martime, sea- (adj)
بُحَيرة	lake
بُخار	steam
بِخاطْرك	with your permission
بَخت	luck
بِخصوص	concerning, regarding
بُخل	meanness, stingyness
بَخور	incense
بَخيل،بَخيلة،بُخَلاء	mean, stingy, miser
بُدّ	way out, escape
بَدال ما	instead of
بَدال،بَدَل	instead of
بِداية	beginning
بِدائي	primitive
بَدَر	full moon
بَدري	early
بَدلة	suit (of clothes)
بَدَن	body
بِدون شَكّ/بَلا شَكّ	without doubt
بَديل	substitute, alternative
بِذر،بِزر	seeds
بِذرة،بِزرة	a seed
بَرّا	outside
بَرائة	innocence
بَرّاد	fridge
بَرّادة	refrigerator
براق،البُراق	name of the mount which carried Mohammed on his Night Journey
بَرّاني	external, outside
بَرّاية	pencil sharpener
بَربور،بَرابير	snot
بَرّة،بَرّات	outside
بُرتُقال	Portugal
بُرج،أَبراج	tower, zodiac sign, birth sign
بَرد	cold
بَرْد	cold
بَردان	cold
بُردَاي/بُردَايِة،بَرَادي	curtain
بُرداية،بَرادي	curtain
بُردقان،بُرتُقال	oranges
بِرْدْقانِي	orange (color)
بَرَزان	bugle
بَرَص	leprosy
بَرضو	also, too, as well, nevertheless, however, still
بَرطيل،بَراطيل	bribe
بُرعُم،بَراعَم	bud
بُرغُل	bulgur wheat, cracked wheat
بَرغوت،بَراغيت	flea
بُرغي،بَراغي	screw
بَرق	lightning
بُرقُع	veil
بَرقوق	plums
بَرقِيّة	telegram
بُركان،بُراكين	volcano
بَرَكة	blessing
بِركة،بُرَك،بِرَك	pool, puddle
بُرما	a type of pastry
بَرمَجة	(computer) programming
بَرميل،بَراميل	barrel, cask, drum
بُرهان،بَراهين	proof, evidence
بُرواز،بَراويز	frame, picture frame, window frame, etc
برودة	coldness
بروفة	rehearsal, fitting
بَروقة	wig (from italian)
برومية	plums
بَرّي	wild, undomesticated
بَرِّيّة	(uninhabited) countryside, the wilds
بَرّيت	outside (preposition)
بَريد	post, mail
بريز	(electrical) plug, (electrical) socket (from french)
بريشت	soft boiled (egg)
بريق،أَباريق	jug, pitcher, teapot, watering can
بْريق،أباريق	jug, pitcher
برَيك	brake
بَرّيمة	corkscrew
بَريئ،بَريئة	innocent
بِز،بزاز	breast, nipple, teat, mouthpiece
بزاق	saliva
بَزّاقة	slug
بَزَلّا	peas (from italian)
بُزَّيق	slug
بزيم،أَبازيم	buckle
بَس	but, only, just
بِسّ،بِسّة،بساس	cat
بِسّ،بِسّة،بِسّات	cat
بساط،بُسُط	basic carpet or rug
بْساط،بُسُط	carpet, rug
بَسبُرت	passport
