past	pres	form	def
إستَعار	يِستعير	10	to borrow (used only when the object is returned)
إستَعَدّ	يِستَعَدّ	10	to prepare oneself, stand by, be prepared
إستَعرَض	يِستَعرَض	10	to review
إستَعمَل	يِستَعمَل	10	to use, make use of, employ
إستَعوَق	يِستَعوَق	10	to think (something's) taking too long, to wonder why (something) is delayed/hasn't come back
إستَغرَب	يِستَغرَب	10	to be surprised, be astonished, find strange, be wierded out
إستَغفَر	يِستَغفَر	10	to apologise, ask for forgiveness
إستَغَلّ	يِستَغَلّ	10	to exploit, take advantage of
إستَغنَم	يِستَغنَم	10	to use, take advantage of
إستَغنى	يِستَغني	10	to be rich enough without, to do without, manage without, get along without
إستَفاد	يِستَفيد	10	to find useful, make good use of, find profitable, get something out of
إستَفَزّ	يِستَفَزّ	10	to provoke
إستَفقَد	يِستَفقَد	10	to miss (something/someone that was absent
إستَفهَم	يِستَفهَم	10	to enquire, want to know, want to understand
إستَقال	يَستَقيل	10	to resign
إستِقبَل	يِستَقبَل	10	to welcome, recieve (a person)
إستَقرَض	يِستَقرَض	10	to borrow
إستَلَزّ	يِستَلَزّ	10	to enjoy, find pleasant/nice
إستَلَم	يِستلَم	10	to recieve
إستَمَرّ	يِستَمَرّ	10	to continue, last, take (time), persevere, go on
إستَنتَج	يِستَنتَج	10	to conclude, infer, deduce
إستِنَد	يِستَنَد	10	to rely on, to use as an authority
إستَنّى	يِستَنّى		to wait
إستَهجَن	يِستَهجَن	10	to disapprove of, condemn, to be surprised, be astonished, be taken aback
إستَهزَئ	يِستَهزَئ	10	to mock, ridicule
إستَهوَن	يِستَهوَن	10	to undervalue, underrate, misjudge, make light of, disdain
إستَوحى	يِستَوحي	10	to be inspired by, borrow (an idea etc)
إستَورَد	يِستَورَد	10	to import
إستَوطَن	يِستَوطَن	10	to settle, settle down (intrans), to take up residence (seek a homeland)
إستَوعَب	يِستَوعَب	10	to take in, absorb, assimilate
إستَولى	يِستَولي	10	to sieze control of, take possession of
إستَوى	يِستوي	10	to ripen, become ripe, to cook (intrans), get cooked
إسمَرّ	يِسمَرّ	9	to tan, get a tan
إسوَدّ	يِسوَدّ	9	to be black, to turn black, blacken (intrans)
إشتاق	يِشتاق		to miss, long for, be homesick
إشتَبَه	يِشتبَه	8	to suspect
إشتَدّ	يِشتَدّ	9	to become stronger, intensify
إشتَرَك	يِشترَك	8	to participate, take part in, to share (in)
إشتَرى	يِشتري	8	to buy
إشتَغَل	يِشتغَل	8	to work
إشتكى	يِشتَكي	8	to complain
إشمَأَزّ	يِشمَأَزّ		to be disgusted, be revolted, be horrified
إصطاد	يِصطاد		to hunt
إصطَدَم	يِصطَدَم	8	to clash, collide, crash
إصطَفَل	يِصتَفَل	8	to cope, deal with, sort out
إصفَرّ	يِصفَرّ	9	to turn yellow (intrans)
إضطَرّ	يِضطَرّ	9	to be forced, be compelled, be obliged
إضطَهَد	يَضطَهَد		to persecute
إعتَبَر	يِعتَبَر	8	to regard, consider, esteem, respect
إعتَدى	يِعتَدي	8	to attack, assault, carry out a hostile act, commit an aggression, to trespass
إعتَرَف	يَعتَرَف	8	to confess, admit, recognize, acknowledge
إعتَزَر	يِعتَزَر	8	to apologize
إعتَقَد	يَعتَقَد	8	to believe, think, be of the opinion
إعتَمَد	يِعتَمَد	8	to depend, rely
إعتَنى	يِعتني	8	to take care of, look after, care for
إغتال	يِغتال		to assassinate
إغتَصَب	يِغتَصَب	8	to rape, violate, rob, usurp
إفتَخَر	يِفتَخَر	8	to be proud, boast, take pride in
إفتَرَس	يِفتَرَس	8	to devour
إفتَكَر	يِفتَكَر	8	to think
إقتَحَم	يَقتَحَم	8	to break in, to hack, hack into (computer), to storm
إقتَرَح	يِقترَح	8	to suggest, propose
إقتَنَع	يِقتَنَع	8	to be convinced, be persuaded
إكتَشَف	يِكتَشَف	8	to discover
إكتَفى	يِكتفي	8	to make do with, be content with, find sufficient
إلتَخَم	يِلتخَم	8	to be dumbfounded, get unnerved
إلتَزَم	يِلتزَم	8	to commit oneself, undertake, pledge, to abide by, comply with, observe
إلتَغى	يِلتَغي	8	to be cancelled, to be abolished, to be abrogated
إلتَفَت	يِلتفَت	8	to turn, turn around (intrans)
إلتَقى	يِلتقي	8	to meet, get together, meet with, to be present (be found), there are
إلتَهَب	يِلتهَب	8	to become inflamed (medical?)
إلتَوى	يِلتوي	8	to get twisted, get sprained
إمتِحَن	يِمتحَن		to examine, give an examination
إمتَنَع	يِمتنَع	8	to refrain, abstain
إنأَسَر	يِنأَسَر	7	to be taken prisoner
إنباع	يِنباع	7	to be sold
إنبَحّ	يِنبَحّ	7	to become hoarse, lose your voice
إنبَسَط	يِنبَسَط	7	to be pleased, be happy, be glad, to enjoy yourself
إنبَلّ	يِنبَلّ	7	to get wet, get damp
إنبَنى	يِنبَنى	7	to be built
إنتَبَه	يِنتِبَه	7	to pay attention, notice, watch out, be careful
إنتَحَر	يِنتحَر	7	to commit suicide
إنتَخَب	يِنتَخَب	7	to vote for, to elect
إنتَسى	يِنتَسى	7	to be forgotten
إنتَشَر	يِنتشَر	7	to spread (intrans), be published
إنتَصَر	يِنتَصَر	7	to be victorious, win (war)
إنتَظَر	يِنتَظَر	7	to wait, await
إنتَعَش	يِنتَعَش	7	to recover, revive, feel refreshed, feel invigorated
إنتَفَخ	يِنتفَخ	7	to inflate (intrans), become inflated
إنتَقَد	يِنتَقَد	7	to criticize, be critical
إنتَقَل	يِنتقَل	7	to move, move on, transfer, relocate (all intrans), be transferred
إنتَقَم	يِنتقَم	7	to take revenge, be avenged, avenge oneself
إنتَكَس	يِنتكَس	7	to relapse
إنتَلى	يِنتلي	7	to fill up (intrans), become full
إنتَمى	يِنتَمي	7	to belong, to be related
إنتَهَز	يِنتهَز	7	to make good use of, take advantage of, to sieze (an opportinity)
إنتَهى	يِنتهي	7	to end (intrans), finish (intrans), come to an end, be over, be up
إنجَبَر	يِنَجبَر	7	to be forced, be obliged, have to
إنجَذَب	يِنجَذَب	7	to be attracted
إنجّرّ	يِنجَرّ	7	to be dragged, be pulled along
إنجَرَح	يِنَجرَح	7	to get hurt, be wounded, get injured, be offended
إنجَرَف	يِنجَرَف	7	to be swept away, get carried away (also metaphorical)
إنجَنّ	يِنجَنّ	7	to go insane
إنحاز	يِنحاز	7	to take sides
إنحَرَف	يِنحَرَف	7	to deviate, turn aside, be led astray, go off the rails
إنحَرَق	يِنحرَق	7	to burn, get burned, be burned
إنحَشى	يِنحَشى	7	to be stuffed
إنحَكَم	يِنحَكَم	7	to be sentenced
إنحَكى	يِنحَكى	7	to be spoken, be told, be related, be expressed
إنحَلّ	يِنحَلّ	7	to be solved, to come untied, come unraveled
إنخَرَب	يِنَخرَب	7	to be destroyed, be ruined
إنخَفَض	يِنخَفَض	7	to drop, decrease, be reduced (intrans)
إنخَمَد	يِنخَمَد	7	to calm down (intrans), to subside, die down
إندَبّ	يِندَبّ	7	to fall over, fall down
إندَعَك	يِندَعَك	7	to have a hard time, go through a lot
إندَمَج	يِندَمَج	7	to fit in, integrate, become part of, be absorbed
إندَهَس	يِنَدهَس	7	to get run over, to get knocked down
إندَهَش	يِنَدهَش	7	to be amazed
إندَهَك	يِنَدهَك	7	to get run over, get knocked down (by a vehicle)
إندَوَش	يِنَدوَش	7	to become bewildered, get flustered
إنذاع	يِنذاع	7	to be broadcast
إنزار	يِنزار	7	to be visited, recieve a visit
إنزَرَع	يِنزَرَع	7	to be sown (seed, land, etc)
إنزَلَق	يِنزَلَق	7	to slip, slide, glide
إنسَحَب	يِنسَحَب	7	to retreat, withdraw
إنسَدّ	يِنسَدّ	7	to be blocked, get blocked up
إنسَرَق	يِنَسرَق	7	to be stolen, get stolen, be robbed
إنسَطَل	يِنَسطَل	7	to become confused, become dazed / groggy (from shock, alcohol, etc)
إنشاف	يِنشاف	7	to be seen, be visible
إنشَدّ	يِنشَدّ	7	to be tightened, pulled tight, become taut
إنشَعَط	يِنشَعَط	7	to burn (intrans), get burned
إنشَغَل	يِنَشغَل	7	to be busy, be occupied
إنشَقّ	يِنشَقّ	7	to be split
إنصَمَط	يِنصَمَط	7	to burn oneself, get burned
إنضَرَب	يِنضَرَب	7	to get hit, get beated up, get knocked, get dented
إنضَمّ	يِنضَمّ	7	to join, become a part of
إنطاق	يِنطاق	7	to be bearable
إنطَخ	يِنطَخ	7	to get shot
إنطَعَج	يِنَطعَج	7	to bend (intrans), become bent
إنطَفى	يِنطَفي	7	to go out, be extinguished
إنطَوى	يِنَطوي	7	to fold (intrans), become folded
إنظَلَم	يِنظَلَم	7	to be oppressed, be treated unjustly
إنعَدّ	يِنعَدّ	7	to be counted, be calculated, to be considered, be reckoned, to count as
إنعَدى	يِنَعدي	7	to become infected, catch (an illness)
إنعَرَض	يِنعَرَض	7	to be shown, be presented, be exhibited
إنعَكَس	يِنعَكَس	7	to be reflected
إنعَمَل	يِنعَمَل	7	to be done, get done
إنعَمى	يِنَعمي	7	to go blind, be dazzled, be blinded
إنعَوَر	يِنَعوَر	7	to lose an eye, become blind in one eye
إنغَسَل	يِنَغسَل	7	to be washed / laundered
إنغَصَب	يِنَغصَب	7	to be forced, to be raped
إنغَلى	يِنغَلى	7	to be boiled
إنفَتَح	يِنَفتَح	7	to open (intrans), be opened
إنفَحَص	يِنفَحَص	7	to be examined
إنفَرَد	يِبفَرَد	7	to be unique, be alone, be seperate, be isolated
إنفَرَط	يِنفَرَط	7	to fall apart, come to pieces, to unravel, fray
إنفَصَل	يِنفَصَل	7	to part, to be separated
إنفَطَم	يِنَفطَم	7	to be weaned
إنفَعَص	يِنَفعَص	7	to get squashed, get crushed, get run over
إنفَعَل	يِنفَعَل	7	to be excited, be agitated
إنفَكّ	يِنفَكّ	7	to come undone, come untied, come apart, to come loose, to get dislocated
إنقال	يِنقال	7	to be said
إنقَبَل	يِنَقبَل	7	to get accepted, be recieved
إنقَتَل	يِنقَتَل	7	to be killed
إنقَرى	يِنقَرى	7	to be read, be legible
إنقَطَع	يِنَقطَع	7	to break (intrans), to be interrupted, get disconnected, to detatch from, cut oneself off from, stay away from, cut ties with
إنقَلَب	يِنَقلَب	7	to overturn, capsize, turn inside out
إنقَلَع	يِنَقلَع	7	to get pulled out, get torn, get uprooted
إنقَهَر	يِنَقهَر	7	to be hurt, be offended, get upset
إنكَبّ	يِنكَبّ	7	to spill (intrans), be spilt, get spilt
إنكَسَر	ينَكسَر	7	to break (intrans), pile up (intrans), create a backlog
إنكَشَف	يِنكَشَف	7	to get discovered, be revealed
إنكَمَش	يِنكَمَش	7	to shrink into oneself, become withdrawn
إنمَحى	يِنَمحي	7	to get rubbed out, be erased
إنمَسَك	يِنمَسَك	7	to get caught
إنهار	يِنهار	7	to collapse
إنهَدَم	يِنَهدَم	7	to be destroyed, get demolished
إنهَزّ	يِنهَزّ	7	to shake (intrans), tremble, quiver, quake
إهتَرى	يِهتري	8	to wear out (intrans), get worn out
إهتَزّ	يِهتَزّ	9	to be shaken, be shocked
إهتَمّ	يِهتَمّ	9	to take an interest in, to be interested in, to care, consider, pay attention to
احْمَرّ	يحْمَرّ		to turn red
ازْعَل	يزْعِل		to upset
اسْتَعْمَل	يسْتَعْمِل		to use
اِسْتَلَم	يِسْتْلِم		to receive
اْسْتَنَّى	يِسْتَنَّى		to wait
اشْتَغَل	يشْتْغِل		to work
اعْتَمَد	يعْتَمِد		to rely on
اِنْطِفا	ينْطِفا		to be put out
انْفَتاح	ينْفْتاح		to open
بات	يبات	1	to spend the night
باح	يبوح	1	to be revealed, to reveal, divulge
باخ	يبوخ	1	to fade (lose color)
بادَر	يبادَر	3	to take an/the initiative
بارَك	يبارَك	3	to bless, congratulate
باس	يبوس	1	to kiss
باض	يبيض	1	to lay (an egg)
باع	يبيع	1	to sell
بالَغ	يبالَغ	3	to exaggerate
بان	يبان	1	to appear
بَثّ	يبَثّ	1	to broadcast
بَجَّل	يبَجَّل	2	to treat with respect, to praise
بَحّ	يبَحّ	1	to rinse
بَحبَش	يبَحبَش	1	to search, rummage
بَحَث	يِبحَث	1	to research, study
بَحَز	يِبحَز	1	to move over
بَحَّز	يبَحَّز	2	to move up, move over, scoot over
بَحَش	يِبحَش	1	to dig, hoe, to search
بَحلَق	يبَحلَق	1	to stare, to gaze
بَخّ	يبوخّ	1	to spray
بَخبَخ	يبَخبَخ	1	to drizzle
بَخَّر	يبَخَّر	2	to cense, incense
بخَلّى	يِتخَلّى		to relinquish, give up, let go
بَدَع	يِبدَع	1	to excel, be outstanding, to invent, create, improvise
بَدَّل	يبَدَّل	2	to change, exchange
بِدي	يِبدى	1	to begin, start
بِدِي	يبْدَى		to begin
بَذَل	يِبذَل	1	to give generously, sacrifice, offer
بَربَر	يبَربَر	[4]	to mutter, jabber
بَرجَم	يبَرجَم		to coo
بَرَد	يُبرُد	1	to become cold, to catch cold, to file
بَردَخ	يبَردَخ		to polish, make smooth
بَرَّر	يبَرَّر	2	to justify
بَرَز	يُبرُز	1	to protrude, stick out, be prominent, be conspicuous
بَرَش	يُبرُش	1	to grate
بَرطَل	يبَرطَل		to bribe
بَرعَم	يبرغم		to sprout, to bud
بَرَق	يبرَق	1	to flash lightning
بَرَم	يُبرُم	1	to twist, twine (rope, thread), to roam, to chatter
بَرمَج	يبَرمَج		to program, to plan
بَرهَن	يبَرهَن		to prove
بَروَز	يبَروَز		to frame
بَرى	يِبري	1	to sharpen (a pencil)
بَرّى	يبَرّي	2	to acquit, declare innocent
بَزَّر	يبَزَّر	2	to waste, to scatter seeds, to beget (a large number of) children
بَزَق	يُبزُق	1	to spit
بَزَّق	يبَزَّق	2	to spit repeatedly
بَسّ	يبَسّ	1	to knead (dough)
بَسَط	يُبْسُط		to spread out, to extend
بَسَّط	يبسَّط	2	to simplify
بَشَّر	يبَشَّر	2	to preach
بَشَّع	يبَشَّع	2	to make ugly, to disfigure
بَشَّم	يبَشَّم	2	to rivet, affix with a stud
بَصبَص	يبَصبَص	[4]	to peep, size up, examine, check out, watch, spy, ogle
بَصَم	يُبصُم	1	to be fingerprinted, to sign with a fingerprint
بَصَّم	يبَصَّم	2	to fingerprint, take someone's fingerprints
بَطّ	يبُطّ	1	to stab, lance
بَطَّل	يبَطَّل	2	to stop, leave off, quit
بَطَّن	يبَطَّن	2	to line
بَعبَش	يبَعبَش		to search, poke around, rummage through
بَعَت	يِبعَت	1	to send
بَعتَر	يبَعتَر		to scatter
بَعزَق	يبَعزَق		to waste, dissipate
بَعَص	يِبعَص	1	to let (someone) down, to cause unpleasantness or disappointment
بَقَّع	يبَقَّع	2	to stain
بَقى	يِبقى	1	to remain, stay
بِقي	يِبقى	1	to remain, stay
بِقِي	يبْقَى		to remain
بَكى	يِبكي	1	to cry
بِكي	يِبكي	1	to cry
بَلّ	يبَلّ	1	to wet, moisten
بَلَّش	يبَلَّش	2	to begin
بَلّش	يبَلَّش		to begin
بَلَّط	يبَلَّط	2	to tile, to pave
بَلَع	يِبلَع	1	to swallow
بَلَغ	يُبلُغ	1	to reach, attain
بَلَّغ	يبَلَّغ	2	to announce, report
بَلَف	يِبلَف	1	to bluff, fool, trick
بَنَج	يِبنَج	1	to be taken aback, dumbfounded, amazed
بَنَّج	يبَنَّج	2	to anaesthetise, administer an anasthetic
بَنشَر	يبنشر		to have a puncture (from english)
بَنى	يِبني	1	to build
بَنَى	يبْني		to build
بَهدَل	يبَهدَل		to reprimand, tell off, shout at, to humiliate, treat with contempt
بَهَّر	يبَهَّر	2	to season, spice
بوبَز	يبوبَز		to bend over, bow, bow down
بَوَّز	يبَوَّز	2	to pout, to sulk
بَوَّز	يبَوَّز	2	to sharpen to a point
بَوَّس	يبَوَّس	2	to kiss repeatedly
بَوَّل	يبَوَّل	2	to urinate
بَيَّت	يبَيَّت	2	to leave overnight, to put someone up for the night
بَيَّض	يبَيَّض	2	to bleach, whiten, to make a fair copy
بَيَّن	يبَيَّن	2	to reveal, show, demonstrate, appear, be visible
تآنَس	يِتآنَس	6	to get together, spend time together (provide each other with company)
تأَثَّر	يِتأَثَّر	5	to be influenced, be effected, be impressed, be touched
تأَخَّر	يِأَخَّر	5	to be late
تأَزَّم	يِتأَزَّك	5	to become critical, come to a head, reach a crisis
تأَسَّف	يِتأَسَّف	5	to be sorry
تأَفـأَف	يِتأَفأَف		to sigh, say 'oof
تأَكَّد	يِتأَكَّد	5	to be confirmed, turn out to be true / right, to be sure, be convinced, make sure
تأَلَّم	يِتأَلَّم	5	to suffer, be in pain
تأَمَّر	يِتأَمَّر	5	to lord over, order about, behave imperiously
تأَمَّل	يِتأَمَّل	5	to hope, to contemplate, meditate, consider, reflect upon
تَئتَئ	يتَئتَئ		to stutter, stammer
تاب	يتوب	1	to repent, mend one's ways
تابَع	يتابَع	3	to follow, to continue
تاجَر	يتاجَر	3	to trade, deal, do business
تباخَل	يِتلباخَل	6	to be stingy
تبادَل	يِتبادَل	6	to exchange, substitute, change, be mutual
تباوَس	يِتباوَس	6	to kiss each other, exchange kisses
تبَحبَح	يِتبَحبَح		to live a life of luxury
تبَخَّر	يِتبَخَّر	5	to evaporate
تبَدَّل	يِتبَدَّل	5	to be replaced
تبَرطَل	يِتبَرطَل		to accept a bribe, be bribed
تبَرَّع	يِتبَرَّع	5	to donate, contribute, to volunteer
تبَرّى	يِتبَرّى	5	to be acquitted, be declared innocent, to refuse to accept responsibility, wash one's hands of
